po_id,tracking_number,carrier,delivery_date,planned_lead_days,actual_lead_days,is_late,delay_days,has_defect,inspection_status,status
PO50023,TRK-28022935,Blue Dart Cargo,2025-12-07,22,27,True,5,False,Passed Inspection,Delivered
PO50024,TRK-59224541,DB Schenker Logistics,2023-03-04,23,26,True,3,False,Passed Inspection,Delivered
PO50025,TRK-35809391,Maersk Line,2023-12-10,21,30,True,9,False,Passed Inspection,Delivered
PO50026,TRK-70175832,Maersk Line,2023-06-16,8,15,True,7,False,Passed Inspection,Delivered
PO50027,TRK-75550180,FedEx Supply Chain,2025-09-02,14,27,True,13,False,Passed Inspection,Delivered
PO50028,TRK-85641944,Maersk Line,2024-07-17,18,35,True,17,False,Passed Inspection,Delivered
PO50029,TRK-45906018,Blue Dart Cargo,2025-11-16,37,40,True,3,False,Passed Inspection,Delivered
PO50030,TRK-74160497,DB Schenker Logistics,2025-02-01,20,34,True,14,False,Passed Inspection,Delivered
PO50031,TRK-72313204,FedEx Supply Chain,2024-10-11,25,40,True,15,False,Passed Inspection,Delivered
PO50032,TRK-72442958,DHL Express,2024-08-17,23,28,True,5,False,Passed Inspection,Delivered
PO50033,TRK-93090967,DB Schenker Logistics,2023-08-24,14,14,False,0,False,Passed Inspection,Delivered
PO50034,TRK-72005890,FedEx Supply Chain,2024-09-24,20,17,False,0,False,Passed Inspection,Delivered
PO50035,TRK-28000572,Kuehne+Nagel,2025-02-13,27,24,False,0,False,Passed Inspection,Delivered
PO50036,TRK-88521445,FedEx Supply Chain,2025-12-22,19,29,True,10,False,Passed Inspection,Delivered
PO50037,TRK-42570748,Maersk Line,2024-09-12,19,19,False,0,False,Passed Inspection,Delivered
PO50038,TRK-43417791,Maersk Line,2025-11-27,28,33,True,5,False,Passed Inspection,Delivered
PO50039,TRK-25477088,Blue Dart Cargo,2025-11-16,17,16,False,0,False,Passed Inspection,Delivered
PO50040,TRK-45561904,DHL Express,2024-08-19,18,24,True,6,True,Major Defect - Rejected,Delivered
PO50041,TRK-86708856,Blue Dart Cargo,2024-05-16,21,20,False,0,False,Passed Inspection,Delivered
PO50042,TRK-32302893,DHL Express,2023-06-29,25,23,False,0,False,Passed Inspection,Delivered
PO50043,TRK-64982626,DHL Express,2023-11-11,5,20,True,15,False,Passed Inspection,Delivered
PO50044,TRK-30192596,Blue Dart Cargo,2025-09-28,25,39,True,14,False,Passed Inspection,Delivered
PO50045,TRK-48676132,Kuehne+Nagel,2023-07-11,35,40,True,5,False,Passed Inspection,Delivered
PO50046,TRK-34141685,FedEx Supply Chain,2024-03-25,4,15,True,11,False,Passed Inspection,Delivered
PO50047,TRK-47097657,FedEx Supply Chain,2025-02-27,24,23,False,0,False,Passed Inspection,Delivered
PO50048,TRK-98047459,DB Schenker Logistics,2023-10-12,22,21,False,0,True,Minor Defect - Accepted,Delivered
PO50049,TRK-90375688,Blue Dart Cargo,2026-01-03,33,32,False,0,False,Passed Inspection,In Transit
PO50050,TRK-40204201,DB Schenker Logistics,2025-01-08,27,27,False,0,False,Passed Inspection,Delivered
PO50051,TRK-99572092,Kuehne+Nagel,2023-03-01,29,28,False,0,False,Passed Inspection,Delivered
PO50052,TRK-29760664,Maersk Line,2023-10-18,12,20,True,8,False,Passed Inspection,Delivered
PO50053,TRK-30518301,FedEx Supply Chain,2025-04-02,14,12,False,0,False,Passed Inspection,Delivered
PO50054,TRK-76280462,FedEx Supply Chain,2025-08-27,21,24,True,3,False,Passed Inspection,Delivered
PO50055,TRK-41872605,FedEx Supply Chain,2025-10-20,11,9,False,0,True,Major Defect - Rejected,Delivered
PO50056,TRK-87606116,Kuehne+Nagel,2025-08-14,24,24,False,0,False,Passed Inspection,Delivered
PO50057,TRK-73575050,FedEx Supply Chain,2023-04-14,23,22,False,0,True,Major Defect - Rejected,Delivered
PO50058,TRK-70104467,Kuehne+Nagel,2025-03-31,12,21,True,9,False,Passed Inspection,Delivered
PO50059,TRK-47697576,Kuehne+Nagel,2023-05-15,15,14,False,0,False,Passed Inspection,Delivered
PO50060,TRK-64057854,DB Schenker Logistics,2023-04-08,17,14,False,0,False,Passed Inspection,Delivered
PO50061,TRK-73059570,DHL Express,2025-03-08,22,40,True,18,False,Passed Inspection,Delivered
PO50062,TRK-48060066,DHL Express,2024-06-27,6,20,True,14,False,Passed Inspection,Delivered
PO50063,TRK-14317667,DHL Express,2024-12-30,20,20,False,0,False,Passed Inspection,Delivered
PO50064,TRK-59389549,Blue Dart Cargo,2025-08-13,25,23,False,0,True,Major Defect - Rejected,Delivered
PO50065,TRK-69288039,FedEx Supply Chain,2023-04-08,22,22,False,0,False,Passed Inspection,Delivered
PO50066,TRK-79483664,Kuehne+Nagel,2024-08-01,3,1,False,0,False,Passed Inspection,Delivered
PO50067,TRK-30839926,Kuehne+Nagel,2025-07-05,3,3,False,0,False,Passed Inspection,Delivered
PO50068,TRK-72985429,Blue Dart Cargo,2024-05-03,9,6,False,0,False,Passed Inspection,Delivered
PO50069,TRK-69645821,DB Schenker Logistics,2024-08-09,13,13,False,0,True,Major Defect - Rejected,Delivered
PO50070,TRK-25956207,FedEx Supply Chain,2024-07-25,9,26,True,17,False,Passed Inspection,Delivered
PO50071,TRK-18429182,FedEx Supply Chain,2025-10-14,27,24,False,0,False,Passed Inspection,Delivered
PO50072,TRK-14712181,DHL Express,2023-03-06,11,10,False,0,False,Passed Inspection,Delivered
PO50073,TRK-62032429,Kuehne+Nagel,2025-09-09,24,21,False,0,False,Passed Inspection,Delivered
PO50074,TRK-80957690,Maersk Line,2025-07-11,32,29,False,0,False,Passed Inspection,Delivered
PO50075,TRK-91698081,FedEx Supply Chain,2025-07-28,31,50,True,19,False,Passed Inspection,Delivered
PO50076,TRK-84566705,Kuehne+Nagel,2024-04-11,18,15,False,0,False,Passed Inspection,Delivered
PO50077,TRK-30467193,DHL Express,2024-08-15,17,28,True,11,False,Passed Inspection,Delivered
PO50078,TRK-91908471,Maersk Line,2024-03-16,38,36,False,0,False,Passed Inspection,Delivered
PO50079,TRK-32501140,Blue Dart Cargo,2023-10-16,7,13,True,6,False,Passed Inspection,Delivered
PO50080,TRK-85555852,DB Schenker Logistics,2025-08-30,15,14,False,0,True,Major Defect - Rejected,Delivered
PO50081,TRK-30648582,FedEx Supply Chain,2024-07-21,13,13,False,0,False,Passed Inspection,Delivered
PO50082,TRK-71312242,Kuehne+Nagel,2025-04-08,21,36,True,15,False,Passed Inspection,Delivered
PO50083,TRK-56221868,Blue Dart Cargo,2023-05-18,17,27,True,10,False,Passed Inspection,Delivered
PO50084,TRK-63883840,DB Schenker Logistics,2025-06-25,33,43,True,10,False,Passed Inspection,Delivered
PO50085,TRK-35025737,DHL Express,2025-02-01,21,41,True,20,False,Passed Inspection,Delivered
PO50086,TRK-46082744,Maersk Line,2026-02-03,28,37,True,9,False,Passed Inspection,In Transit
PO50087,TRK-63408507,DHL Express,2023-06-30,17,34,True,17,False,Passed Inspection,Delivered
PO50088,TRK-93332898,DHL Express,2024-09-16,17,33,True,16,False,Passed Inspection,Delivered
PO50089,TRK-28545199,FedEx Supply Chain,2024-08-08,11,26,True,15,False,Passed Inspection,Delivered
PO50090,TRK-28457223,DHL Express,2024-08-17,8,5,False,0,False,Passed Inspection,Delivered
PO50091,TRK-44677129,FedEx Supply Chain,2023-03-12,5,11,True,6,False,Passed Inspection,Delivered
PO50092,TRK-43595438,Blue Dart Cargo,2024-06-25,26,23,False,0,False,Passed Inspection,Delivered
PO50093,TRK-36892945,FedEx Supply Chain,2023-11-29,5,5,False,0,False,Passed Inspection,Delivered
PO50094,TRK-79125118,FedEx Supply Chain,2024-11-30,5,23,True,18,False,Passed Inspection,Delivered
PO50095,TRK-64268480,FedEx Supply Chain,2023-10-01,20,19,False,0,False,Passed Inspection,Delivered
PO50096,TRK-41697126,Kuehne+Nagel,2024-05-01,11,10,False,0,False,Passed Inspection,Delivered
PO50097,TRK-62875854,DHL Express,2024-11-18,11,9,False,0,False,Passed Inspection,Delivered
PO50098,TRK-19425177,FedEx Supply Chain,2023-03-15,3,3,False,0,False,Passed Inspection,Delivered
PO50099,TRK-58422083,Blue Dart Cargo,2025-05-27,19,16,False,0,False,Passed Inspection,Delivered
PO50100,TRK-76839330,DHL Express,2025-02-25,4,3,False,0,False,Passed Inspection,Delivered
PO50101,TRK-25137896,Maersk Line,2023-04-01,30,28,False,0,False,Passed Inspection,Delivered
PO50102,TRK-76859705,Maersk Line,2023-03-18,6,6,False,0,False,Passed Inspection,Delivered
PO50103,TRK-27687762,Blue Dart Cargo,2025-07-31,13,11,False,0,False,Passed Inspection,Delivered
PO50104,TRK-40392271,DB Schenker Logistics,2023-11-29,24,22,False,0,False,Passed Inspection,Delivered
PO50105,TRK-96689583,DB Schenker Logistics,2025-08-29,29,29,False,0,False,Passed Inspection,Delivered
PO50106,TRK-32642174,Blue Dart Cargo,2024-07-20,14,20,True,6,False,Passed Inspection,Delivered
PO50107,TRK-39934415,DB Schenker Logistics,2024-02-10,13,31,True,18,False,Passed Inspection,Delivered
PO50108,TRK-82864732,DHL Express,2023-11-24,28,28,False,0,False,Passed Inspection,Delivered
PO50109,TRK-21693256,Kuehne+Nagel,2025-01-09,19,18,False,0,False,Passed Inspection,Delivered
PO50110,TRK-63834915,Maersk Line,2023-05-13,14,12,False,0,False,Passed Inspection,Delivered
PO50111,TRK-90658379,FedEx Supply Chain,2024-04-03,18,18,False,0,False,Passed Inspection,Delivered
PO50112,TRK-85093104,FedEx Supply Chain,2024-02-15,28,32,True,4,False,Passed Inspection,Delivered
PO50113,TRK-93235724,FedEx Supply Chain,2023-07-14,23,26,True,3,False,Passed Inspection,Delivered
PO50114,TRK-82912185,Blue Dart Cargo,2024-01-27,7,5,False,0,False,Passed Inspection,Delivered
PO50115,TRK-16072566,DB Schenker Logistics,2024-09-05,35,35,False,0,False,Passed Inspection,Delivered
PO50116,TRK-76559240,Maersk Line,2025-02-14,12,34,True,22,False,Passed Inspection,Delivered
PO50117,TRK-33620086,Kuehne+Nagel,2023-05-13,20,38,True,18,False,Passed Inspection,Delivered
PO50118,TRK-62159891,FedEx Supply Chain,2025-09-13,19,31,True,12,False,Passed Inspection,Delivered
PO50119,TRK-19392562,DB Schenker Logistics,2025-08-27,10,8,False,0,False,Passed Inspection,Delivered
PO50120,TRK-26034196,FedEx Supply Chain,2025-03-25,39,57,True,18,False,Passed Inspection,Delivered
PO50121,TRK-53085640,DB Schenker Logistics,2025-10-28,18,19,True,1,False,Passed Inspection,Delivered
PO50122,TRK-34865327,DB Schenker Logistics,2024-05-08,28,25,False,0,False,Passed Inspection,Delivered
PO50123,TRK-23397910,DB Schenker Logistics,2025-07-21,34,33,False,0,False,Passed Inspection,Delivered
PO50124,TRK-21997309,Kuehne+Nagel,2025-03-21,14,14,False,0,False,Passed Inspection,Delivered
PO50125,TRK-67908232,Kuehne+Nagel,2024-10-04,27,27,False,0,False,Passed Inspection,Delivered
PO50126,TRK-35483088,FedEx Supply Chain,2023-08-07,13,22,True,9,False,Passed Inspection,Delivered
PO50127,TRK-46673208,DHL Express,2024-09-30,31,28,False,0,False,Passed Inspection,Delivered
PO50128,TRK-64712593,DB Schenker Logistics,2025-09-25,14,12,False,0,True,Major Defect - Rejected,Delivered
PO50129,TRK-85480469,Kuehne+Nagel,2026-01-03,22,20,False,0,False,Passed Inspection,In Transit
PO50130,TRK-10942355,FedEx Supply Chain,2024-06-05,31,31,False,0,False,Passed Inspection,Delivered
PO50131,TRK-90599674,DB Schenker Logistics,2023-10-28,29,29,False,0,False,Passed Inspection,Delivered
PO50132,TRK-67081874,FedEx Supply Chain,2025-04-10,15,12,False,0,False,Passed Inspection,Delivered
PO50133,TRK-38775793,Blue Dart Cargo,2023-04-25,34,31,False,0,False,Passed Inspection,Delivered
PO50134,TRK-73149410,Kuehne+Nagel,2023-07-13,28,28,False,0,False,Passed Inspection,Delivered
PO50135,TRK-24274758,DB Schenker Logistics,2024-09-16,9,9,False,0,False,Passed Inspection,Delivered
PO50136,TRK-56806798,Blue Dart Cargo,2026-01-10,23,21,False,0,False,Passed Inspection,In Transit
PO50137,TRK-59720667,DHL Express,2024-01-25,15,29,True,14,False,Passed Inspection,Delivered
PO50138,TRK-31558689,Kuehne+Nagel,2024-05-22,24,22,False,0,False,Passed Inspection,Delivered
PO50139,TRK-96500853,DHL Express,2024-01-01,2,13,True,11,False,Passed Inspection,Delivered
PO50140,TRK-41167983,Maersk Line,2024-05-02,8,5,False,0,False,Passed Inspection,Delivered
PO50141,TRK-44196143,Blue Dart Cargo,2023-02-14,33,37,True,4,False,Passed Inspection,Delivered
PO50142,TRK-55758565,DB Schenker Logistics,2024-11-08,9,26,True,17,True,Major Defect - Rejected,Delivered
PO50143,TRK-73901660,Kuehne+Nagel,2024-11-18,24,35,True,11,False,Passed Inspection,Delivered
PO50144,TRK-88703726,DHL Express,2024-01-13,27,32,True,5,False,Passed Inspection,Delivered
PO50145,TRK-16369861,DB Schenker Logistics,2023-11-18,20,32,True,12,False,Passed Inspection,Delivered
PO50146,TRK-13199235,Blue Dart Cargo,2025-05-18,35,35,False,0,False,Passed Inspection,Delivered
PO50147,TRK-95168745,Blue Dart Cargo,2023-08-09,18,15,False,0,False,Passed Inspection,Delivered
PO50148,TRK-26387313,DB Schenker Logistics,2023-03-20,20,27,True,7,False,Passed Inspection,Delivered
PO50149,TRK-29491581,DB Schenker Logistics,2023-02-26,13,12,False,0,False,Passed Inspection,Delivered
PO50150,TRK-56518695,Blue Dart Cargo,2025-08-25,3,2,False,0,False,Passed Inspection,Delivered
PO50151,TRK-51405491,DB Schenker Logistics,2024-02-27,18,24,True,6,False,Passed Inspection,Delivered
PO50152,TRK-38589242,FedEx Supply Chain,2023-05-09,4,17,True,13,False,Passed Inspection,Delivered
PO50153,TRK-67760981,DHL Express,2025-09-05,5,16,True,11,False,Passed Inspection,Delivered
PO50154,TRK-91741071,Blue Dart Cargo,2023-07-02,22,20,False,0,False,Passed Inspection,Delivered
PO50155,TRK-89075868,DHL Express,2024-01-07,6,3,False,0,False,Passed Inspection,Delivered
PO50156,TRK-95036717,DHL Express,2023-02-06,15,14,False,0,False,Passed Inspection,Delivered
PO50157,TRK-12482924,DHL Express,2025-01-28,18,15,False,0,False,Passed Inspection,Delivered
PO50158,TRK-83341183,FedEx Supply Chain,2025-03-05,16,29,True,13,False,Passed Inspection,Delivered
PO50159,TRK-77384232,Blue Dart Cargo,2025-04-19,10,11,True,1,False,Passed Inspection,Delivered
PO50160,TRK-40889460,FedEx Supply Chain,2023-10-30,3,14,True,11,False,Passed Inspection,Delivered
PO50161,TRK-90909901,DHL Express,2024-01-16,6,21,True,15,False,Passed Inspection,Delivered
PO50162,TRK-66873721,Blue Dart Cargo,2025-11-23,15,30,True,15,False,Passed Inspection,Delivered
PO50163,TRK-36101479,Maersk Line,2025-07-24,18,36,True,18,False,Passed Inspection,Delivered
PO50164,TRK-47047915,DB Schenker Logistics,2023-03-07,20,25,True,5,False,Passed Inspection,Delivered
PO50165,TRK-68971293,Maersk Line,2025-03-02,21,34,True,13,False,Passed Inspection,Delivered
PO50166,TRK-16468187,DB Schenker Logistics,2025-07-11,17,33,True,16,False,Passed Inspection,Delivered
PO50167,TRK-71911528,DHL Express,2024-09-14,13,10,False,0,False,Passed Inspection,Delivered
PO50168,TRK-15705236,Maersk Line,2025-01-20,39,50,True,11,False,Passed Inspection,Delivered
PO50169,TRK-42878018,Maersk Line,2023-02-10,27,39,True,12,False,Passed Inspection,Delivered
PO50170,TRK-55468197,DB Schenker Logistics,2023-03-02,20,28,True,8,False,Passed Inspection,Delivered
PO50171,TRK-46647087,Maersk Line,2023-02-28,20,20,False,0,False,Passed Inspection,Delivered
PO50172,TRK-58516480,Blue Dart Cargo,2023-07-17,7,23,True,16,False,Passed Inspection,Delivered
PO50173,TRK-45237356,DHL Express,2026-02-08,29,50,True,21,False,Passed Inspection,In Transit
PO50174,TRK-69579679,FedEx Supply Chain,2024-12-13,11,18,True,7,False,Passed Inspection,Delivered
PO50175,TRK-56606490,Kuehne+Nagel,2025-05-19,13,13,False,0,False,Passed Inspection,Delivered
PO50176,TRK-20849499,DB Schenker Logistics,2023-12-15,4,25,True,21,False,Passed Inspection,Delivered
PO50177,TRK-22817664,Kuehne+Nagel,2025-11-07,17,15,False,0,False,Passed Inspection,Delivered
PO50178,TRK-51452085,FedEx Supply Chain,2023-08-24,18,18,False,0,False,Passed Inspection,Delivered
PO50179,TRK-49989824,FedEx Supply Chain,2025-10-08,17,23,True,6,False,Passed Inspection,Delivered
PO50180,TRK-69908088,FedEx Supply Chain,2023-03-03,26,28,True,2,False,Passed Inspection,Delivered
PO50181,TRK-39200843,DB Schenker Logistics,2023-01-27,5,4,False,0,False,Passed Inspection,Delivered
PO50182,TRK-49645199,DHL Express,2023-04-17,20,20,False,0,False,Passed Inspection,Delivered
PO50183,TRK-33345270,DB Schenker Logistics,2025-06-21,17,35,True,18,False,Passed Inspection,Delivered
PO50184,TRK-41308918,Maersk Line,2023-10-21,14,12,False,0,False,Passed Inspection,Delivered
PO50185,TRK-46452324,Kuehne+Nagel,2024-06-14,17,36,True,19,False,Passed Inspection,Delivered
PO50186,TRK-79266019,Blue Dart Cargo,2024-06-10,13,10,False,0,False,Passed Inspection,Delivered
PO50187,TRK-43872366,Blue Dart Cargo,2025-05-15,2,1,False,0,False,Passed Inspection,Delivered
PO50188,TRK-66972943,DB Schenker Logistics,2024-01-31,15,14,False,0,False,Passed Inspection,Delivered
PO50189,TRK-65312529,Maersk Line,2023-02-17,36,40,True,4,False,Passed Inspection,Delivered
PO50190,TRK-85683318,DB Schenker Logistics,2024-03-13,14,14,False,0,False,Passed Inspection,Delivered
PO50191,TRK-66614758,Maersk Line,2023-12-10,6,28,True,22,False,Passed Inspection,Delivered
PO50192,TRK-80859648,Blue Dart Cargo,2025-03-31,20,20,False,0,False,Passed Inspection,Delivered
PO50193,TRK-20507172,FedEx Supply Chain,2025-04-11,12,9,False,0,False,Passed Inspection,Delivered
PO50194,TRK-64771932,Maersk Line,2023-04-19,10,8,False,0,False,Passed Inspection,Delivered
PO50195,TRK-81905239,Kuehne+Nagel,2025-05-28,11,10,False,0,True,Major Defect - Rejected,Delivered
PO50196,TRK-73304166,Blue Dart Cargo,2023-04-26,27,38,True,11,False,Passed Inspection,Delivered
PO50197,TRK-75697747,Maersk Line,2024-12-08,21,29,True,8,False,Passed Inspection,Delivered
PO50198,TRK-83977497,Blue Dart Cargo,2024-03-27,28,25,False,0,False,Passed Inspection,Delivered
PO50199,TRK-77492689,Kuehne+Nagel,2023-12-24,28,28,False,0,False,Passed Inspection,Delivered
PO50200,TRK-62908265,DHL Express,2024-07-07,26,24,False,0,False,Passed Inspection,Delivered
PO50201,TRK-49741399,DB Schenker Logistics,2024-01-07,34,32,False,0,False,Passed Inspection,Delivered
PO50202,TRK-34063609,Maersk Line,2025-06-08,21,20,False,0,False,Passed Inspection,Delivered
PO50203,TRK-18545459,FedEx Supply Chain,2025-12-28,29,34,True,5,True,Minor Defect - Accepted,Delivered
PO50204,TRK-91696089,DB Schenker Logistics,2025-07-15,17,33,True,16,False,Passed Inspection,Delivered
PO50205,TRK-84795989,Kuehne+Nagel,2024-05-15,20,20,False,0,False,Passed Inspection,Delivered
PO50206,TRK-19678392,Blue Dart Cargo,2024-08-13,28,39,True,11,False,Passed Inspection,Delivered
PO50207,TRK-63402813,DB Schenker Logistics,2024-05-26,16,22,True,6,False,Passed Inspection,Delivered
PO50208,TRK-70914359,DHL Express,2025-06-05,18,18,False,0,False,Passed Inspection,Delivered
PO50209,TRK-15470134,Blue Dart Cargo,2024-09-18,24,22,False,0,False,Passed Inspection,Delivered
PO50210,TRK-67180187,Kuehne+Nagel,2024-07-05,21,39,True,18,False,Passed Inspection,Delivered
PO50211,TRK-81265204,Blue Dart Cargo,2024-04-27,36,34,False,0,False,Passed Inspection,Delivered
PO50212,TRK-78604353,Blue Dart Cargo,2024-03-08,24,22,False,0,False,Passed Inspection,Delivered
PO50213,TRK-80915378,DHL Express,2024-09-23,27,26,False,0,False,Passed Inspection,Delivered
PO50214,TRK-98528536,DB Schenker Logistics,2025-02-14,6,21,True,15,False,Passed Inspection,Delivered
PO50215,TRK-32880622,Maersk Line,2024-05-14,26,26,False,0,False,Passed Inspection,Delivered
PO50216,TRK-77636443,DB Schenker Logistics,2025-06-23,22,21,False,0,False,Passed Inspection,Delivered
PO50217,TRK-69493375,DHL Express,2025-07-24,20,30,True,10,False,Passed Inspection,Delivered
PO50218,TRK-50785035,Blue Dart Cargo,2024-05-06,23,22,False,0,False,Passed Inspection,Delivered
PO50219,TRK-62078650,Maersk Line,2025-10-08,17,16,False,0,False,Passed Inspection,Delivered
PO50220,TRK-70653634,DB Schenker Logistics,2023-07-11,3,2,False,0,False,Passed Inspection,Delivered
PO50221,TRK-26676713,Blue Dart Cargo,2025-10-18,3,1,False,0,False,Passed Inspection,Delivered
PO50222,TRK-26758472,Blue Dart Cargo,2023-11-26,7,7,False,0,False,Passed Inspection,Delivered
PO50223,TRK-51205698,Maersk Line,2024-09-23,10,14,True,4,False,Passed Inspection,Delivered
PO50224,TRK-59784598,Maersk Line,2023-12-02,26,25,False,0,False,Passed Inspection,Delivered
PO50225,TRK-36369891,Kuehne+Nagel,2024-05-09,9,10,True,1,False,Passed Inspection,Delivered
PO50226,TRK-56741765,Kuehne+Nagel,2024-01-28,23,20,False,0,False,Passed Inspection,Delivered
PO50227,TRK-66432910,Maersk Line,2025-02-15,4,4,False,0,False,Passed Inspection,Delivered
PO50228,TRK-55064415,FedEx Supply Chain,2023-04-23,25,24,False,0,True,Minor Defect - Accepted,Delivered
PO50229,TRK-36297996,Kuehne+Nagel,2025-07-10,7,4,False,0,False,Passed Inspection,Delivered
PO50230,TRK-71848071,DB Schenker Logistics,2025-09-28,11,12,True,1,False,Passed Inspection,Delivered
PO50231,TRK-15265486,DHL Express,2024-09-25,19,17,False,0,False,Passed Inspection,Delivered
PO50232,TRK-99451966,DHL Express,2024-09-02,11,11,False,0,False,Passed Inspection,Delivered
PO50233,TRK-63926266,DB Schenker Logistics,2025-02-06,3,1,False,0,False,Passed Inspection,Delivered
PO50234,TRK-55319231,FedEx Supply Chain,2023-08-15,11,9,False,0,False,Passed Inspection,Delivered
PO50235,TRK-90924479,DB Schenker Logistics,2025-04-02,3,2,False,0,False,Passed Inspection,Delivered
PO50236,TRK-13615805,Kuehne+Nagel,2023-09-27,11,30,True,19,False,Passed Inspection,Delivered
PO50237,TRK-71174657,Blue Dart Cargo,2025-02-10,23,31,True,8,False,Passed Inspection,Delivered
PO50238,TRK-18514937,DB Schenker Logistics,2024-01-15,23,45,True,22,False,Passed Inspection,Delivered
PO50239,TRK-65255654,DHL Express,2025-04-29,33,32,False,0,False,Passed Inspection,Delivered
PO50240,TRK-34034769,Kuehne+Nagel,2025-05-27,11,11,False,0,False,Passed Inspection,Delivered
PO50241,TRK-82914354,DHL Express,2023-09-03,18,17,False,0,False,Passed Inspection,Delivered
PO50242,TRK-71379513,DHL Express,2024-12-04,27,27,False,0,False,Passed Inspection,Delivered
PO50243,TRK-51961980,DB Schenker Logistics,2024-07-20,22,21,False,0,False,Passed Inspection,Delivered
PO50244,TRK-80933375,Kuehne+Nagel,2023-12-07,22,19,False,0,False,Passed Inspection,Delivered
PO50245,TRK-73076440,Maersk Line,2024-10-28,23,22,False,0,False,Passed Inspection,Delivered
PO50246,TRK-36043256,Kuehne+Nagel,2026-01-27,17,36,True,19,False,Passed Inspection,In Transit
PO50247,TRK-81307998,Maersk Line,2023-01-27,13,24,True,11,False,Passed Inspection,Delivered
PO50248,TRK-74256485,Kuehne+Nagel,2025-12-27,23,44,True,21,False,Passed Inspection,Delivered
PO50249,TRK-95082400,DHL Express,2025-08-18,25,23,False,0,False,Passed Inspection,Delivered
PO50250,TRK-32856632,Maersk Line,2024-08-22,22,20,False,0,False,Passed Inspection,Delivered
PO50251,TRK-47075514,Kuehne+Nagel,2024-12-04,29,36,True,7,False,Passed Inspection,Delivered
PO50252,TRK-90100058,Blue Dart Cargo,2024-03-07,29,27,False,0,False,Passed Inspection,Delivered
PO50253,TRK-40948786,DHL Express,2023-06-23,24,32,True,8,False,Passed Inspection,Delivered
PO50254,TRK-44022476,FedEx Supply Chain,2024-09-29,14,12,False,0,False,Passed Inspection,Delivered
PO50255,TRK-15733422,DB Schenker Logistics,2025-06-17,5,5,False,0,False,Passed Inspection,Delivered
PO50256,TRK-51286206,FedEx Supply Chain,2023-10-01,8,20,True,12,False,Passed Inspection,Delivered
PO50257,TRK-81766370,Kuehne+Nagel,2025-04-03,21,38,True,17,False,Passed Inspection,Delivered
PO50258,TRK-18330223,DHL Express,2025-05-02,14,33,True,19,False,Passed Inspection,Delivered
PO50259,TRK-29845770,FedEx Supply Chain,2025-05-02,23,22,False,0,False,Passed Inspection,Delivered
PO50260,TRK-18627016,DHL Express,2024-02-11,17,34,True,17,False,Passed Inspection,Delivered
PO50261,TRK-64757469,Blue Dart Cargo,2024-04-03,29,29,False,0,False,Passed Inspection,Delivered
PO50262,TRK-43097576,Kuehne+Nagel,2024-04-20,21,20,False,0,False,Passed Inspection,Delivered
