product_id,warehouse,current_stock,reorder_level,avg_monthly_demand,months_of_cover
PRD2100,WH-East (Kolkata),1805,215,4504.6,0.4
PRD2101,WH-Central (Nagpur),1779,412,3968.3,0.4
PRD2102,WH-East (Kolkata),1663,619,3676.5,0.5
PRD2103,WH-East (Kolkata),1497,723,3577.6,0.4
PRD2104,WH-North (Delhi),1366,964,4755.6,0.3
PRD2105,WH-East (Kolkata),181,929,4508.9,0.0
PRD2106,WH-Central (Nagpur),615,68,4033.8,0.2
PRD2107,WH-East (Kolkata),1573,757,4667.4,0.3
PRD2108,WH-South (Chennai),1549,295,4172.4,0.4
PRD2109,WH-North (Delhi),169,543,3472.9,0.0
PRD2110,WH-North (Delhi),564,331,3976.1,0.1
PRD2111,WH-West (Mumbai),1132,878,4933.2,0.2
PRD2112,WH-North (Delhi),1590,447,3539.1,0.4
PRD2113,WH-East (Kolkata),560,130,3974.3,0.1
PRD2114,WH-South (Chennai),399,852,3473.8,0.1
PRD2115,WH-Central (Nagpur),1675,390,3517.2,0.5
PRD2116,WH-Central (Nagpur),1659,146,4229.6,0.4
PRD2117,WH-South (Chennai),293,585,3948.9,0.1
PRD2118,WH-North (Delhi),1762,456,3532.0,0.5
PRD2119,WH-West (Mumbai),1352,328,3754.4,0.4
PRD2120,WH-West (Mumbai),1322,498,4335.5,0.3
PRD2121,WH-South (Chennai),355,867,3823.8,0.1
PRD2122,WH-Central (Nagpur),479,514,4562.0,0.1
PRD2123,WH-East (Kolkata),1201,181,4407.1,0.3
PRD2124,WH-North (Delhi),594,658,4403.0,0.1
PRD2125,WH-South (Chennai),63,540,4176.3,0.0
PRD2126,WH-West (Mumbai),406,31,3967.2,0.1
PRD2127,WH-North (Delhi),990,777,4723.4,0.2
PRD2128,WH-South (Chennai),1813,316,4477.4,0.4
PRD2129,WH-West (Mumbai),780,475,3366.4,0.2
PRD2130,WH-South (Chennai),835,186,3931.4,0.2
PRD2131,WH-East (Kolkata),1921,903,4169.7,0.5
PRD2132,WH-West (Mumbai),1590,175,3858.8,0.4
PRD2133,WH-North (Delhi),1546,712,4864.6,0.3
PRD2134,WH-Central (Nagpur),1508,716,4495.3,0.3
PRD2135,WH-West (Mumbai),694,687,4834.9,0.1
PRD2136,WH-Central (Nagpur),140,485,4723.0,0.0
PRD2137,WH-East (Kolkata),825,997,4558.2,0.2
PRD2138,WH-West (Mumbai),831,795,4321.4,0.2
PRD2139,WH-South (Chennai),1627,267,3472.1,0.5
PRD2140,WH-West (Mumbai),1596,249,4456.9,0.4
PRD2141,WH-North (Delhi),757,515,3420.5,0.2
PRD2142,WH-Central (Nagpur),1234,57,4177.8,0.3
PRD2143,WH-South (Chennai),198,89,4267.1,0.0
PRD2144,WH-West (Mumbai),433,86,4546.6,0.1
PRD2145,WH-West (Mumbai),126,181,4260.9,0.0
PRD2146,WH-South (Chennai),241,493,4145.7,0.1
PRD2147,WH-North (Delhi),1349,476,4268.8,0.3
PRD2148,WH-South (Chennai),911,73,3703.5,0.2
PRD2149,WH-South (Chennai),1436,85,4049.6,0.4
PRD2150,WH-North (Delhi),923,665,4457.9,0.2
PRD2151,WH-West (Mumbai),803,354,4008.5,0.2
PRD2152,WH-Central (Nagpur),636,56,3951.8,0.2
PRD2153,WH-North (Delhi),860,829,4106.0,0.2
PRD2154,WH-North (Delhi),424,163,3981.0,0.1
PRD2155,WH-West (Mumbai),1192,615,4547.2,0.3
PRD2156,WH-North (Delhi),573,764,4071.0,0.1
PRD2157,WH-North (Delhi),1512,577,4017.4,0.4
PRD2158,WH-Central (Nagpur),580,746,4004.4,0.1
PRD2159,WH-West (Mumbai),1820,248,4362.9,0.4
PRD2160,WH-South (Chennai),860,190,4177.8,0.2
PRD2161,WH-West (Mumbai),264,855,3916.3,0.1
PRD2162,WH-West (Mumbai),1791,93,4073.3,0.4
PRD2163,WH-South (Chennai),1743,302,4411.1,0.4
PRD2164,WH-North (Delhi),1713,476,3790.7,0.5
PRD2165,WH-East (Kolkata),686,253,4185.9,0.2
PRD2166,WH-North (Delhi),1154,35,4774.2,0.2
PRD2167,WH-North (Delhi),1630,722,4802.9,0.3
PRD2168,WH-South (Chennai),1554,790,4820.8,0.3
PRD2169,WH-South (Chennai),1407,296,4016.4,0.4
PRD2170,WH-West (Mumbai),1010,521,3825.2,0.3
PRD2171,WH-Central (Nagpur),370,290,4429.6,0.1
PRD2172,WH-West (Mumbai),178,211,4118.5,0.0
PRD2173,WH-North (Delhi),1264,34,3726.9,0.3
PRD2174,WH-West (Mumbai),1161,978,3927.6,0.3
PRD2175,WH-North (Delhi),70,326,4787.8,0.0
PRD2176,WH-South (Chennai),644,563,3839.4,0.2
PRD2177,WH-East (Kolkata),1953,955,4708.8,0.4
PRD2178,WH-North (Delhi),916,120,3834.6,0.2
PRD2179,WH-Central (Nagpur),204,153,3978.5,0.1
PRD2180,WH-North (Delhi),1048,627,4429.4,0.2
PRD2181,WH-West (Mumbai),1560,29,3901.3,0.4
PRD2182,WH-South (Chennai),1778,149,3110.2,0.6
PRD2183,WH-West (Mumbai),343,873,4188.6,0.1
PRD2184,WH-East (Kolkata),1705,221,3835.3,0.4
PRD2185,WH-North (Delhi),1586,809,3704.8,0.4
PRD2186,WH-North (Delhi),1421,495,3941.9,0.4
PRD2187,WH-East (Kolkata),1544,795,3927.8,0.4
PRD2188,WH-West (Mumbai),565,158,4834.2,0.1
PRD2189,WH-Central (Nagpur),1653,110,3900.1,0.4
PRD2190,WH-South (Chennai),1914,493,4768.8,0.4
PRD2191,WH-West (Mumbai),1156,203,3767.6,0.3
PRD2192,WH-South (Chennai),1750,904,4675.9,0.4
PRD2193,WH-West (Mumbai),1227,208,4798.8,0.3
PRD2194,WH-Central (Nagpur),1418,154,3438.9,0.4
PRD2195,WH-North (Delhi),533,534,4086.3,0.1
PRD2196,WH-West (Mumbai),1925,313,4063.1,0.5
PRD2197,WH-East (Kolkata),1809,190,3875.0,0.5
PRD2198,WH-West (Mumbai),1268,866,4263.1,0.3
PRD2199,WH-North (Delhi),1399,342,3938.8,0.4
