product_id,warehouse,current_stock,reorder_level,avg_monthly_demand,months_of_cover
PRD2128,WH-West (Mumbai),946,316,4025.9,0.2
PRD2129,WH-North (Delhi),464,475,3934.8,0.1
PRD2130,WH-South (Chennai),1149,186,3978.6,0.3
PRD2131,WH-South (Chennai),1737,903,4421.3,0.4
PRD2132,WH-South (Chennai),1827,175,3919.2,0.5
PRD2133,WH-West (Mumbai),1718,712,4647.4,0.4
PRD2134,WH-South (Chennai),1455,716,4608.1,0.3
PRD2135,WH-North (Delhi),521,687,4947.7,0.1
PRD2136,WH-East (Kolkata),198,485,4284.8,0.0
PRD2137,WH-North (Delhi),1078,997,4731.9,0.2
PRD2138,WH-West (Mumbai),1137,795,4147.1,0.3
PRD2139,WH-Central (Nagpur),1896,267,3497.9,0.5
PRD2140,WH-North (Delhi),1844,249,4795.0,0.4
PRD2141,WH-West (Mumbai),1834,515,3850.8,0.5
PRD2142,WH-Central (Nagpur),1385,57,4785.0,0.3
PRD2143,WH-Central (Nagpur),749,89,4228.6,0.2
PRD2144,WH-Central (Nagpur),1175,86,4420.7,0.3
PRD2145,WH-North (Delhi),1769,181,4217.7,0.4
PRD2146,WH-North (Delhi),417,493,4007.9,0.1
PRD2147,WH-North (Delhi),1617,476,3898.0,0.4
PRD2148,WH-Central (Nagpur),1421,73,3881.8,0.4
PRD2149,WH-East (Kolkata),7,85,4311.2,0.0
PRD2150,WH-East (Kolkata),1236,665,4529.2,0.3
PRD2151,WH-West (Mumbai),392,354,4108.4,0.1
PRD2152,WH-South (Chennai),1032,56,4123.6,0.3
PRD2153,WH-North (Delhi),856,829,4246.8,0.2
PRD2154,WH-West (Mumbai),88,163,4128.4,0.0
PRD2155,WH-Central (Nagpur),1327,615,4407.3,0.3
PRD2156,WH-South (Chennai),1420,764,4058.6,0.3
PRD2157,WH-East (Kolkata),1671,577,3874.6,0.4
PRD2158,WH-South (Chennai),248,746,4337.8,0.1
PRD2159,WH-South (Chennai),956,248,4085.7,0.2
PRD2160,WH-West (Mumbai),97,190,4253.8,0.0
PRD2161,WH-South (Chennai),1459,855,3922.1,0.4
PRD2162,WH-North (Delhi),950,93,4040.0,0.2
PRD2163,WH-East (Kolkata),1252,302,4549.1,0.3
PRD2164,WH-West (Mumbai),269,476,3600.4,0.1
PRD2165,WH-East (Kolkata),961,253,3987.3,0.2
PRD2166,WH-Central (Nagpur),1262,35,4265.2,0.3
PRD2167,WH-South (Chennai),157,722,4659.8,0.0
PRD2168,WH-East (Kolkata),1493,790,4438.9,0.3
PRD2169,WH-Central (Nagpur),706,296,3745.3,0.2
PRD2170,WH-South (Chennai),1701,521,3760.1,0.5
PRD2171,WH-Central (Nagpur),1243,290,4373.2,0.3
PRD2172,WH-Central (Nagpur),1397,211,4025.6,0.3
PRD2173,WH-North (Delhi),690,34,3735.1,0.2
PRD2174,WH-North (Delhi),1600,978,3814.9,0.4
PRD2175,WH-West (Mumbai),698,326,4478.5,0.2
PRD2176,WH-East (Kolkata),251,563,3873.3,0.1
PRD2177,WH-West (Mumbai),1017,955,4346.2,0.2
PRD2178,WH-Central (Nagpur),194,120,3996.5,0.0
PRD2179,WH-West (Mumbai),1098,153,3699.6,0.3
PRD2180,WH-West (Mumbai),1487,627,4274.5,0.3
PRD2181,WH-Central (Nagpur),663,29,3968.9,0.2
PRD2182,WH-East (Kolkata),710,149,3395.0,0.2
PRD2183,WH-West (Mumbai),1128,873,4041.8,0.3
PRD2184,WH-South (Chennai),1656,221,3931.4,0.4
PRD2185,WH-South (Chennai),893,809,3941.7,0.2
PRD2186,WH-Central (Nagpur),1199,495,4124.8,0.3
PRD2187,WH-South (Chennai),1797,795,3421.9,0.5
PRD2188,WH-East (Kolkata),59,158,4154.6,0.0
PRD2189,WH-South (Chennai),92,110,3838.1,0.0
PRD2190,WH-East (Kolkata),184,493,4387.5,0.0
PRD2191,WH-South (Chennai),1062,203,3764.5,0.3
PRD2192,WH-West (Mumbai),184,904,4505.2,0.0
PRD2193,WH-East (Kolkata),74,208,4825.0,0.0
PRD2194,WH-Central (Nagpur),147,154,3589.4,0.0
PRD2195,WH-West (Mumbai),220,534,4367.8,0.1
PRD2196,WH-South (Chennai),1498,313,4037.1,0.4
PRD2197,WH-North (Delhi),374,190,4442.1,0.1
PRD2198,WH-South (Chennai),1327,866,4383.3,0.3
PRD2199,WH-South (Chennai),535,342,3846.5,0.1
